event,time,lower_mm,upper_mm
"Aug 6, 2024",2024-08-03 07:00:00-06:00,0.0,0.0
"Aug 6, 2024",2024-08-03 08:00:00-06:00,0.0,0.0
"Aug 6, 2024",2024-08-03 09:00:00-06:00,0.0,0.0
"Aug 6, 2024",2024-08-03 10:00:00-06:00,0.0,0.0
"Aug 6, 2024",2024-08-03 11:00:00-06:00,0.0,0.0
"Aug 6, 2024",2024-08-03 12:00:00-06:00,0.0,0.0
"Aug 6, 2024",2024-08-03 13:00:00-06:00,0.0,0.0
"Aug 6, 2024",2024-08-03 14:00:00-06:00,0.0,0.0
"Aug 6, 2024",2024-08-03 15:00:00-06:00,0.0,0.0
"Aug 6, 2024",2024-08-03 16:00:00-06:00,0.0,0.002828983391129768
"Aug 6, 2024",2024-08-03 17:00:00-06:00,0.0,0.025688994342033217
"Aug 6, 2024",2024-08-03 18:00:00-06:00,0.0,0.018205876984851252
"Aug 6, 2024",2024-08-03 19:00:00-06:00,0.0,0.004289103851067713
"Aug 6, 2024",2024-08-03 20:00:00-06:00,0.0,0.0
"Aug 6, 2024",2024-08-03 21:00:00-06:00,0.0,0.0
"Aug 6, 2024",2024-08-03 22:00:00-06:00,0.0,0.0
"Aug 6, 2024",2024-08-03 23:00:00-06:00,0.0,0.0
"Aug 6, 2024",2024-08-04 00:00:00-06:00,0.0,0.0
"Aug 6, 2024",2024-08-04 01:00:00-06:00,0.0,0.0
"Aug 6, 2024",2024-08-04 02:00:00-06:00,0.0,0.0
"Aug 6, 2024",2024-08-04 03:00:00-06:00,0.0,0.0
"Aug 6, 2024",2024-08-04 04:00:00-06:00,0.0,0.0
"Aug 6, 2024",2024-08-04 05:00:00-06:00,0.0,0.0
"Aug 6, 2024",2024-08-04 06:00:00-06:00,0.0,0.0
"Aug 6, 2024",2024-08-04 07:00:00-06:00,0.0,0.0
"Aug 6, 2024",2024-08-04 08:00:00-06:00,0.0,0.0
"Aug 6, 2024",2024-08-04 09:00:00-06:00,0.0,0.0
"Aug 6, 2024",2024-08-04 10:00:00-06:00,0.0,0.0
"Aug 6, 2024",2024-08-04 11:00:00-06:00,0.00016655562958027982,0.0
"Aug 6, 2024",2024-08-04 12:00:00-06:00,0.00882744836775483,0.04352984121189998
"Aug 6, 2024",2024-08-04 13:00:00-06:00,0.06628914057295136,0.18429457930279247
"Aug 6, 2024",2024-08-04 14:00:00-06:00,0.3286142571618921,0.22855448074466145
"Aug 6, 2024",2024-08-04 15:00:00-06:00,0.5211525649566955,0.3236448256981201
"Aug 6, 2024",2024-08-04 16:00:00-06:00,0.39806795469686873,0.8284814747216646
"Aug 6, 2024",2024-08-04 17:00:00-06:00,0.241672218520986,0.678682241284906
"Aug 6, 2024",2024-08-04 18:00:00-06:00,0.002331778814123917,0.1435480927176492
"Aug 6, 2024",2024-08-04 19:00:00-06:00,0.0,0.12032305165176127
"Aug 6, 2024",2024-08-04 20:00:00-06:00,0.042305129913391075,0.4728508851980288
"Aug 6, 2024",2024-08-04 21:00:00-06:00,0.49283810792804794,1.1249315568534404
"Aug 6, 2024",2024-08-04 22:00:00-06:00,1.4257161892071952,0.713998904909655
"Aug 6, 2024",2024-08-04 23:00:00-06:00,1.2146902065289806,0.4521354261726592
"Aug 6, 2024",2024-08-05 00:00:00-06:00,1.1988674217188542,0.1304070085782077
"Aug 6, 2024",2024-08-05 01:00:00-06:00,0.2533311125916056,0.01054024457017704
