time,turbidity,conductance,temp_c,do_mg_l,ph,trumbull_cfs,event
2024-08-03 07:15:00-06:00,3.1,246.0,13.2,9.0,8.0,304.0,"Aug 6, 2024"
2024-08-03 07:30:00-06:00,3.1,246.0,13.1,9.0,8.0,304.0,"Aug 6, 2024"
2024-08-03 07:45:00-06:00,3.0,246.0,13.0,9.0,8.0,304.0,"Aug 6, 2024"
2024-08-03 08:00:00-06:00,2.9,245.0,12.9,9.0,8.0,304.0,"Aug 6, 2024"
2024-08-03 08:15:00-06:00,3.0,245.0,12.8,9.1,8.0,304.0,"Aug 6, 2024"
2024-08-03 08:30:00-06:00,3.2,245.0,12.7,9.1,8.0,304.0,"Aug 6, 2024"
2024-08-03 08:45:00-06:00,2.9,245.0,12.7,9.1,8.0,304.0,"Aug 6, 2024"
2024-08-03 09:00:00-06:00,3.3,245.0,12.6,9.1,8.0,304.0,"Aug 6, 2024"
2024-08-03 09:15:00-06:00,3.2,245.0,12.6,9.1,8.0,304.0,"Aug 6, 2024"
2024-08-03 09:30:00-06:00,3.0,245.0,12.6,9.1,8.0,304.0,"Aug 6, 2024"
2024-08-03 09:45:00-06:00,3.0,245.0,12.7,9.1,8.1,304.0,"Aug 6, 2024"
2024-08-03 10:00:00-06:00,2.8,245.0,12.8,9.1,8.1,304.0,"Aug 6, 2024"
2024-08-03 10:15:00-06:00,3.0,244.0,12.9,9.1,8.1,304.0,"Aug 6, 2024"
2024-08-03 10:30:00-06:00,2.9,244.0,13.0,9.1,8.1,304.0,"Aug 6, 2024"
2024-08-03 10:45:00-06:00,2.9,244.0,13.1,9.0,8.1,304.0,"Aug 6, 2024"
2024-08-03 11:00:00-06:00,2.9,244.0,13.3,9.0,8.1,304.0,"Aug 6, 2024"
2024-08-03 11:15:00-06:00,3.2,244.0,13.4,9.0,8.1,304.0,"Aug 6, 2024"
2024-08-03 11:30:00-06:00,3.0,244.0,13.6,8.9,8.1,304.0,"Aug 6, 2024"
2024-08-03 11:45:00-06:00,2.9,244.0,13.8,8.9,8.1,300.0,"Aug 6, 2024"
2024-08-03 12:00:00-06:00,2.9,244.0,14.0,8.9,8.1,304.0,"Aug 6, 2024"
