event,peak_time,peak_ntu,hours_with_radar,upper_total_mm,lower_total_mm,lower_max_pixel_mm_hr,wettest_hour_before_peak,gauge_day_of_in
0,2023-08-02 03:15:00+00:00,477.0,13,9.125342215732797,21.480512991339108,63.0,5,0.77
1,2026-08-15 07:45:00+00:00,329.0,13,3.580078481474722,11.520486342438375,32.0,7,0.46
2,2024-08-06 13:15:00+00:00,321.0,13,1.2207975908012412,1.3424383744170554,5.5,12,0.37
3,2022-08-16 01:15:00+00:00,285.0,13,7.124840299324695,14.812624916722184,52.0,4,0.04
4,2023-05-12 11:30:00+00:00,185.0,13,6.180142361744843,14.31479013990673,6.0,7,3.2
5,2022-08-07 12:30:00+00:00,158.0,13,0.4097006753057127,6.6357428381079275,35.0,9,0.12
6,2026-07-28 14:15:00+00:00,151.0,13,0.6460120459937945,1.1442371752165224,7.0,12,0.04
7,2024-04-16 22:45:00+00:00,143.0,13,1.2240372330717284,1.4423717521652233,2.25,11,0.03
8,2026-07-23 06:30:00+00:00,121.0,13,6.70035590436211,13.860926049300463,64.0,9,0.48
9,2024-05-13 04:30:00+00:00,89.4,13,7.101204599379448,8.109926715522985,15.25,11,0.07
