event,hour_utc,hours_before_peak,gage_mm,upper_mean_mm,upper_max_mm,lower_mean_mm,lower_max_mm
0,2023-08-01 15:00:00+00:00,12,0.0,0.0,0.0,0.0,0.0
0,2023-08-01 16:00:00+00:00,11,0.0,0.0,0.0,0.0,0.0
0,2023-08-01 17:00:00+00:00,10,0.0,0.0,0.0,0.0,0.0
0,2023-08-01 18:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0
0,2023-08-01 19:00:00+00:00,8,0.0,0.09490782989596641,7.75,0.024150566289140574,2.5
0,2023-08-01 20:00:00+00:00,7,0.0,0.946751231976638,22.0,0.8181212524983345,11.25
0,2023-08-01 21:00:00+00:00,6,0.0,1.5950903449534586,40.0,4.009327115256496,43.0
0,2023-08-01 22:00:00+00:00,5,23.25,2.1732524183245117,41.0,8.717854763491006,63.0
0,2023-08-01 23:00:00+00:00,4,3.0,1.7569355721847053,22.25,3.3724183877415057,14.0
0,2023-08-02 00:00:00+00:00,3,0.5,1.6018890308450446,22.0,1.9145569620253164,11.25
0,2023-08-02 01:00:00+00:00,2,0.0,0.8617904727139989,4.5,1.5769487008660892,4.5
0,2023-08-02 02:00:00+00:00,1,0.0,0.09472531483847417,2.75,1.0468021319120586,4.75
0,2023-08-02 03:00:00+00:00,0,0.0,0.0,0.0,0.00033311125916055963,0.5
1,2026-08-14 19:00:00+00:00,12,0.0,0.0012776054024457018,1.75,0.004996668887408394,0.5
1,2026-08-14 20:00:00+00:00,11,0.0,0.310047453914948,17.25,0.2914723517654897,5.5
1,2026-08-14 21:00:00+00:00,10,0.0,0.14373060777514146,5.25,0.7450033311125916,6.0
1,2026-08-14 22:00:00+00:00,9,0.0,0.2629129403175762,4.0,2.603764157228514,32.0
1,2026-08-14 23:00:00+00:00,8,0.0,0.8240554845774777,16.0,2.646402398401066,24.5
1,2026-08-15 00:00:00+00:00,7,5.25,1.4291841576930098,36.0,2.926215856095936,15.75
1,2026-08-15 01:00:00+00:00,6,1.75,0.3041613433108231,6.5,1.5449700199866756,5.0
1,2026-08-15 02:00:00+00:00,5,1.0,0.053248768023361925,2.5,0.39806795469686873,3.25
1,2026-08-15 03:00:00+00:00,4,0.0,0.14733528016061326,1.5,0.15606262491672218,1.0
1,2026-08-15 04:00:00+00:00,3,0.0,0.09814747216645374,3.5,0.1905396402398401,1.75
1,2026-08-15 05:00:00+00:00,2,0.0,0.005977368132870962,0.5,0.011825449700199867,0.5
1,2026-08-15 06:00:00+00:00,1,0.0,0.0,0.0,0.0011658894070619586,0.25
1,2026-08-15 07:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0
2,2024-08-06 01:00:00+00:00,12,2.25,0.4937032305165176,5.0,1.102931379080613,4.0
2,2024-08-06 02:00:00+00:00,11,1.0,0.2539697025004563,3.0,0.21585609593604263,5.5
2,2024-08-06 03:00:00+00:00,10,0.0,0.16654498996167183,2.0,0.019320453031312457,1.0
2,2024-08-06 04:00:00+00:00,9,0.0,0.16590618726044898,3.5,0.0043304463690872754,0.75
2,2024-08-06 05:00:00+00:00,8,0.0,0.09896878992516883,3.0,0.0,0.0
2,2024-08-06 06:00:00+00:00,7,0.0,0.035955466325971894,1.5,0.0,0.0
2,2024-08-06 07:00:00+00:00,6,0.0,0.005749224311005658,0.75,0.0,0.0
2,2024-08-06 08:00:00+00:00,5,0.0,0.0,0.0,0.0,0.0
2,2024-08-06 09:00:00+00:00,4,0.0,0.0,0.0,0.0,0.0
2,2024-08-06 10:00:00+00:00,3,0.0,0.0,0.0,0.0,0.0
2,2024-08-06 11:00:00+00:00,2,0.0,0.0,0.0,0.0,0.0
2,2024-08-06 12:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0
2,2024-08-06 13:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0
3,2022-08-15 13:00:00+00:00,12,0.0,0.0,0.0,0.0,0.0
3,2022-08-15 14:00:00+00:00,11,0.0,0.0,0.0,0.0,0.0
3,2022-08-15 15:00:00+00:00,10,0.0,0.0,0.0,0.0,0.0
3,2022-08-15 16:00:00+00:00,9,0.0,0.0,0.0,0.0,0.0
3,2022-08-15 17:00:00+00:00,8,0.0,0.0,0.0,0.0,0.0
3,2022-08-15 18:00:00+00:00,7,0.0,0.06520350428910385,2.5,0.31262491672218523,5.25
3,2022-08-15 19:00:00+00:00,6,0.0,0.5425260083956926,14.75,1.1802131912058627,36.0
3,2022-08-15 20:00:00+00:00,5,0.0,1.6703778061690089,43.0,4.163391072618254,34.0
3,2022-08-15 21:00:00+00:00,4,4.0,1.8695473626574193,41.0,6.2018654230512995,52.0
3,2022-08-15 22:00:00+00:00,3,1.0,0.6092352619091075,8.0,1.3655896069287141,5.0
3,2022-08-15 23:00:00+00:00,2,0.0,1.0766563241467422,19.0,0.7425049966688874,7.0
3,2022-08-16 00:00:00+00:00,1,1.75,0.5509217010403358,6.5,0.5921052631578947,3.0
3,2022-08-16 01:00:00+00:00,0,0.0,0.7403723307172841,4.25,0.25433044636908725,1.5
4,2023-05-11 23:00:00+00:00,12,3.5,0.3067621828800876,4.0,0.868421052631579,4.25
4,2023-05-12 00:00:00+00:00,11,2.5,0.39847599926993976,2.5,0.5592938041305796,3.5
4,2023-05-12 01:00:00+00:00,10,2.0,0.759764555575835,4.0,1.0544636908727516,3.0
4,2023-05-12 02:00:00+00:00,9,3.75,0.8156141631684614,4.25,1.460692871419054,4.5
4,2023-05-12 03:00:00+00:00,8,4.0,0.7112155502828983,7.0,1.66072618254497,6.0
4,2023-05-12 04:00:00+00:00,7,4.25,0.7441138893958752,6.0,1.80946035976016,5.75
4,2023-05-12 05:00:00+00:00,6,3.0,0.6940135061142544,5.5,1.5304796802131913,5.5
4,2023-05-12 06:00:00+00:00,5,3.0,0.5269665997444789,4.5,1.4235509660226515,5.0
4,2023-05-12 07:00:00+00:00,4,3.0,0.37849060047453914,4.0,1.2509993337774816,5.75
4,2023-05-12 08:00:00+00:00,3,3.5,0.36635334915130496,4.5,1.0144903397734844,4.0
4,2023-05-12 09:00:00+00:00,2,2.75,0.37511407191093266,4.5,1.0308127914723517,5.75
4,2023-05-12 10:00:00+00:00,1,0.0,0.09207884650483665,1.5,0.43287808127914723,2.75
4,2023-05-12 11:00:00+00:00,0,0.25,0.01117904727139989,0.5,0.21852098600932712,1.5
5,2022-08-07 00:00:00+00:00,12,0.0,0.021354261726592445,3.25,0.2301798800799467,5.0
5,2022-08-07 01:00:00+00:00,11,0.0,0.003832816207337105,0.5,0.3532644903397735,26.0
5,2022-08-07 02:00:00+00:00,10,0.0,0.14920605949990876,6.5,2.412391738840773,35.0
5,2022-08-07 03:00:00+00:00,9,0.0,0.2327979558313561,34.0,3.240506329113924,30.0
5,2022-08-07 04:00:00+00:00,8,0.5,0.002053294396787735,1.0,0.37891405729513655,5.5
5,2022-08-07 05:00:00+00:00,7,0.0,0.0,0.0,0.0,0.0
5,2022-08-07 06:00:00+00:00,6,0.0,0.0,0.0,0.0,0.0
5,2022-08-07 07:00:00+00:00,5,0.0,0.00045628764373060776,0.5,0.020486342438374418,1.0
5,2022-08-07 08:00:00+00:00,4,0.0,0.0,0.0,0.0,0.0
5,2022-08-07 09:00:00+00:00,3,0.0,0.0,0.0,0.0,0.0
5,2022-08-07 10:00:00+00:00,2,0.0,0.0,0.0,0.0,0.0
5,2022-08-07 11:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0
5,2022-08-07 12:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0
6,2026-07-28 02:00:00+00:00,12,0.0,0.28540792115349517,20.0,0.6387408394403731,7.0
6,2026-07-28 03:00:00+00:00,11,1.0,0.20948165723672202,4.5,0.459526982011992,3.25
6,2026-07-28 04:00:00+00:00,10,0.0,0.010950903449534586,1.25,0.045802798134576946,0.5
6,2026-07-28 05:00:00+00:00,9,0.0,0.0035590436210987406,0.5,0.0,0.0
6,2026-07-28 06:00:00+00:00,8,0.0,0.0006844314655959116,0.25,0.0,0.0
6,2026-07-28 07:00:00+00:00,7,0.0,0.13519802883737908,23.25,0.0,0.0
6,2026-07-28 08:00:00+00:00,6,0.0,0.0007300602299689724,0.5,0.0,0.0
6,2026-07-28 09:00:00+00:00,5,0.0,0.0,0.0,0.00016655562958027982,0.25
6,2026-07-28 10:00:00+00:00,4,0.0,0.0,0.0,0.0,0.0
6,2026-07-28 11:00:00+00:00,3,0.0,0.0,0.0,0.0,0.0
6,2026-07-28 12:00:00+00:00,2,0.0,0.0,0.0,0.0,0.0
6,2026-07-28 13:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0
6,2026-07-28 14:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0
7,2024-04-16 10:00:00+00:00,12,0.0,0.22627304252600838,2.25,0.18837441705529648,1.0
7,2024-04-16 11:00:00+00:00,11,1.5,0.4716645373243293,3.0,0.679713524317122,2.0
7,2024-04-16 12:00:00+00:00,10,0.25,0.42142726774958933,2.25,0.39157228514323783,2.25
7,2024-04-16 13:00:00+00:00,9,0.0,0.07784267202044169,1.25,0.14906728847435044,1.25
7,2024-04-16 14:00:00+00:00,8,0.0,0.0,0.0,0.0021652231845436377,0.25
7,2024-04-16 15:00:00+00:00,7,0.0,0.0,0.0,0.0,0.0
7,2024-04-16 16:00:00+00:00,6,0.0,0.0015057492243110056,0.25,0.00033311125916055963,0.5
7,2024-04-16 17:00:00+00:00,5,0.0,0.00469976273042526,0.5,0.005662891405729514,0.25
7,2024-04-16 18:00:00+00:00,4,0.0,0.005703595546632597,0.5,0.014990006662225183,0.5
7,2024-04-16 19:00:00+00:00,3,0.0,0.00766563241467421,0.5,0.0029980013324450365,0.25
7,2024-04-16 20:00:00+00:00,2,0.0,0.007254973535316664,0.5,0.007495003331112591,0.25
7,2024-04-16 21:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0
7,2024-04-16 22:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0
8,2026-07-22 18:00:00+00:00,12,0.0,0.0861927359007118,2.5,0.07411725516322451,3.5
8,2026-07-22 19:00:00+00:00,11,0.0,0.39674210622376344,18.5,0.3987341772151899,24.25
8,2026-07-22 20:00:00+00:00,10,0.25,0.268023361927359,7.75,1.0772818121252499,28.0
8,2026-07-22 21:00:00+00:00,9,6.25,0.5717740463588246,8.75,4.63107928047968,64.0
8,2026-07-22 22:00:00+00:00,8,0.0,1.4518616535864208,23.25,2.9180546302465022,37.0
8,2026-07-22 23:00:00+00:00,7,6.0,0.5912118999817485,16.5,2.4920053297801465,24.75
8,2026-07-23 00:00:00+00:00,6,2.75,0.2831264829348421,6.0,0.28880746169220517,5.75
8,2026-07-23 01:00:00+00:00,5,0.0,0.2247672933016974,2.5,0.047968021319120584,1.25
8,2026-07-23 02:00:00+00:00,4,0.0,0.4693830991056762,5.25,0.0519653564290473,1.75
