start,peak_time,peak_ntu,hours_above,rain_in_day_of,rain_in_day_before
2023-08-01 10:45:00-06:00,2023-08-01 21:15:00-06:00,477.0,13.5,0.77,0.0
2026-08-15 00:30:00-06:00,2026-08-15 01:45:00-06:00,329.0,5.75,0.46,0.56
2024-08-06 06:15:00-06:00,2024-08-06 07:15:00-06:00,321.0,4.5,0.37,0.04
2022-08-15 18:45:00-06:00,2022-08-15 19:15:00-06:00,285.0,2.25,0.04,0.04
2023-05-11 23:45:00-06:00,2023-05-12 05:30:00-06:00,185.0,27.75,3.2,1.88
2022-08-07 06:00:00-06:00,2022-08-07 06:30:00-06:00,158.0,1.75,0.12,0.0
2026-07-28 06:45:00-06:00,2026-07-28 08:15:00-06:00,151.0,2.75,0.04,0.0
2024-04-16 16:00:00-06:00,2024-04-16 16:45:00-06:00,143.0,3.5,0.03,0.0
2026-07-23 00:15:00-06:00,2026-07-23 00:30:00-06:00,121.0,1.25,0.48,0.0
2024-05-12 13:45:00-06:00,2024-05-12 22:30:00-06:00,89.4,19.75,0.07,0.0
2026-08-13 21:45:00-06:00,2026-08-13 22:15:00-06:00,86.6,1.5,0.35,0.0
2024-04-21 09:45:00-06:00,2024-04-21 09:45:00-06:00,78.5,0.75,0.04,0.24
2024-04-20 07:30:00-06:00,2024-04-20 07:30:00-06:00,73.1,1.0,0.24,0.09
2022-07-28 03:30:00-06:00,2022-07-28 04:15:00-06:00,72.5,2.5,0.14,0.27
2022-08-08 09:15:00-06:00,2022-08-08 09:30:00-06:00,68.3,1.75,0.11,0.12
2024-06-08 13:45:00-06:00,2024-06-08 13:45:00-06:00,61.3,0.5,0.0,0.0
2024-05-15 19:30:00-06:00,2024-05-16 05:00:00-06:00,60.0,9.25,0.04,0.04
2024-06-06 13:30:00-06:00,2024-06-06 13:30:00-06:00,55.3,0.75,0.0,0.0
2024-04-18 19:30:00-06:00,2024-04-18 19:30:00-06:00,52.9,0.25,0.02,0.0
2024-05-15 01:45:00-06:00,2024-05-15 01:45:00-06:00,51.4,0.25,0.04,0.04
2024-06-07 11:30:00-06:00,2024-06-07 11:30:00-06:00,50.2,0.25,0.0,0.0
